1 sleep
1 sleep
1 sleep
1 sleep
1 sleep
1 sleep
1 sleep
1 sleep
1 sleep
1 sleep
1 sleep
1 sleep
1 sleep
1 sleep
1 sleep
1 sleep
1 eat
1 eat
1 eat
1 eat
1 eat
1 eat
1 rest
1 rest
1 rest
1 rest
1 rest
1 rest
1 rest
1 rest
1 rest
4 groom
4 groom
4 groom
4 groom
4 groom
1 groom
4 groom
4 groom
4 groom
1 drink
1 walk
1 walk
1 walk
1 walk
1 walk
1 walk
1 walk
1 walk
0 groom
0 groom
0 groom
0 groom
0 groom
1 groom
1 groom
1 groom
1 groom
1 groom
0 eat
0 eat
0 eat
0 eat
0 eat
0 eat
0 eat
0 drink
0 drink
0 drink
0 drink
0 drink
0 walk
0 eat
0 eat
0 eat
1 walk
1 walk
1 walk
1 walk
0 groom
0 groom
0 groom
0 sleep
0 sleep
0 sleep
0 sleep
0 sleep
0 sleep
0 sleep
0 sleep
0 sleep
0 sleep
0 sleep
0 sleep
0 sleep
0 sleep
0 sleep
0 rest
0 rest
0 rest
0 rest
0 rest
0 rest
0 rest
0 rest
0 rest
0 rest
0 rest
0 rest
0 rest
0 rest
0 rest
0 rest
0 rest
0 rest
0 rest
0 rest
0 rest
0 rest
0 rest
0 rest
0 rest
0 rest
0 rest
0 rest
0 groom
0 groom
0 groom
0 groom
1 groom
0 groom
0 groom
0 groom
1 groom
1 groom
0 groom
0 groom
0 groom
0 groom
0 groom
0 groom
0 groom
0 groom
4 groom
0 groom
0 groom
0 groom
